"No","Section","Label","Selector","SourceLine","CurrentBehavior","Verdict","KeyEvidence"
"1","Sidebar","Điều khiển","button.nav-link[data-tab='dashboard']","3800","Mở section dashboard, cập nhật hash và route localStorage.","OK","L11076-L11080; L5626-L5650"
"2","Sidebar","Up bài ads","button.nav-link[data-tab='topics']","3804","Mở section topics, cập nhật hash và route localStorage.","OK","L11076-L11080; L5626-L5650"
"3","Sidebar","Ads cuối","button.nav-link[data-tab='alltask']","3809","Mở section alltask, cập nhật hash và route localStorage.","OK","L11076-L11080; L5626-L5650"
"4","Sidebar","Vận hành bot","button.nav-link[data-tab='botops']","3813","Mở botops và subpage mặc định botops-users.","OK","L11076-L11080; L5638; L5688-L5690"
"5","BotOps nav","User của bot","button[data-subpage-nav='botops'][data-subpage-target='botops-users']","3818","Mở đúng subpage và cuộn đến section botops.","OK","L11082-L11088"
"6","BotOps nav","Cấu hình bot","button[data-subpage-nav='botops'][data-subpage-target='botops-modules']","3819","Mở subpage cấu hình bot.","OK","L11082-L11088"
"7","BotOps nav","Kho bài đã up","button[data-subpage-nav='botops'][data-subpage-target='botops-archive']","3820","Mở subpage archive.","OK","L11082-L11088"
"8","BotOps nav","File to link","button[data-subpage-nav='botops'][data-subpage-target='botops-filelink']","3821","Mở subpage File to link.","OK","L11082-L11088"
"9","BotOps nav","Kho link share","button[data-subpage-nav='botops'][data-subpage-target='botops-filelink-shares']","3822","Mở subpage kho link share.","OK","L11082-L11088"
"10","BotOps nav","Mã xem","button[data-subpage-nav='botops'][data-subpage-target='botops-viewcodes']","3823","Mở subpage mã xem.","OK","L11082-L11088"
"11","BotOps nav","Anti-flood","button[data-subpage-nav='botops'][data-subpage-target='botops-antiflood']","3824","Mở subpage mô phỏng anti-flood.","OK","L11082-L11088"
"12","Sidebar","Admin bot","button.nav-link[data-tab='botadmin']","3826","Mở botadmin và subpage mặc định botadmin-forum.","OK","L11076-L11080; L5688-L5690"
"13","Admin nav","Forum chung admin","button[data-subpage-nav='botadmin'][data-subpage-target='botadmin-forum']","3831","Mở subpage forum admin.","OK","L11082-L11088"
"14","Admin nav","Topic quản lí từng bot","button[data-subpage-nav='botadmin'][data-subpage-target='botadmin-topics']","3832","Mở subpage topic từng bot.","OK","L11082-L11088"
"15","Admin nav","Tiến độ up từng topic","button[data-subpage-nav='botadmin'][data-subpage-target='botadmin-progress']","3833","Mở subpage tiến độ.","OK","L11082-L11088"
"16","Admin nav","Mời bot vào forum","button[data-subpage-nav='botadmin'][data-subpage-target='botadmin-invite']","3834","Mở subpage mời bot.","OK","L11082-L11088"
"17","Admin nav","Log hệ thống & spam","button[data-subpage-nav='botadmin'][data-subpage-target='botadmin-logs']","3835","Mở subpage log admin.","OK","L11082-L11088"
"18","Sidebar","Kênh & folder","button.nav-link[data-tab='channels']","3837","Mở section channels.","OK","L11076-L11080"
"19","Sidebar","Lịch auto","button.nav-link[data-tab='schedule']","3844","Mở section lịch; các control bên trong không được lưu.","OK","L11076-L11080; L4820-L4882"
"20","Sidebar","Admin userbot","button.nav-link[data-tab='telegram']","3848","Mở section đăng nhập userbot.","OK","L11076-L11080"
"21","Sidebar","Backup & dữ liệu","button.nav-link[data-tab='import']","3852","Mở section backup/import.","OK","L11076-L11080"
"22","Sidebar","Log realtime","button.nav-link[data-tab='logs']","3856","Mở log và gọi refreshBackendLogs.","OK","L11076-L11080; L12612-L12620"
"23","Sidebar tools","Tìm nhanh","button#paletteBtn","3863","Mở command palette; hỗ trợ Ctrl+K, click và phím mũi tên.","OK","L9698-L9718"
"24","Topbar","Thử lại","button#backendRetryBtn","3885","Hiện toast rồi reload toàn trang.","OK","L12552-L12555"
"25","Topbar","START","button#startBtn","3887","Gọi POST runtime/start, nhưng đọc sai trạng thái sau đó và vô hiệu STOP.","PARTIAL","L12339-L12353; L12317-L12332"
"26","Topbar","STOP","button#stopBtn","3888","Gọi POST runtime/stop nếu còn bấm được; sau START thường bị disable sai.","BROKEN","L12355-L12369; L12318-L12331"
"27","Dashboard","Refresh","button#refreshSystemStatsBtn","3937","Chỉ sao chép stats local, không lấy CPU/RAM/disk thật và không render lại machine panel.","BROKEN","L12556-L12561; L8033-L8038; L5261-L5271"
"28","Dashboard","Scan","button[data-action='scan_topic']","3947","Có handler nhưng luôn bị chặn vì runtime status bị đọc sai tầng.","BROKEN","L11222-L11225; L11191-L11200; L5348-L5354"
"29","Topics","Sinh topic_map.txt","button[data-action='gen_topic_map']","3960","Sinh text từ data.mappingItems và tải Blob topic_map.txt.","OK","L11248-L11265"
"30","Topics","Check nguồn ads","button[data-action='probe_ads_source']","3968","Gọi backend probe tuần tự và báo số OK/lỗi.","OK","L11226-L11247"
"31","Topics","Lưu nguồn ads","#adSourceForm button[type='submit']","3977","Lưu một nguồn vào local/app-data; báo thành công trước khi biết backend và không nhận title do response envelope.","PARTIAL","L12413-L12440; L7826-L7841"
"32","Topics","Thêm mapping","button#topicFormToggleBtn","3990","Mở/thu form mapping và focus input đầu.","OK","L12040-L12053"
"33","Topics","Mở rộng tất cả","button#mappingExpandAllBtn","3991","Đánh dấu tất cả mapping expanded và lưu localStorage.","OK","L12065-L12068; L10661-L10665"
"34","Topics","Thu gọn tất cả","button#mappingCollapseAllBtn","3992","Thu gọn tất cả mapping và lưu localStorage.","OK","L12069-L12072; L10661-L10665"
"35","Topics form","Xóa đích","button[data-remove-destination]","4018","Xóa row nếu có nhiều row; nếu là row cuối thì xóa giá trị.","OK","L11039-L11073"
"36","Topics form","+ Thêm đích","button[data-add-destination='topicDestinationStack']","4021","Sinh thêm destination-row qua delegated handler.","OK","L10965-L11001; L7670-L7678"
"37","Topics form","Xóa token","button[data-remove-destination]","4081","Xóa row token hoặc làm rỗng row cuối.","OK","L11039-L11073"
"38","Topics form","+ Thêm token bot","button[data-add-destination='topicBotTokenStack']","4084","Sinh thêm password input token.","OK","L10965-L11001"
"39","Topics form","Lưu mapping","#topicForm button[type='submit']","4092","Thêm mapping nhưng bỏ qua toàn bộ topicDestinations phụ; vẫn báo thành công khi backend lỗi.","BROKEN","L12371-L12411; L12378"
"40","Topics form","Hủy","button#topicFormCancelBtn","4093","Ẩn form và phục hồi nút Thêm mapping.","OK","L12054-L12063"
"41","Ads cuối","Chạy ads cuối","button[data-action='run_all_task']","4112","Có handler nhưng luôn bị chặn bởi runtime envelope mismatch.","BROKEN","L11218-L11221; L11191-L11200"
"42","Ads cuối","Chọn tất cả","button#allSelectAllChannelsBtn","4154","Chọn toàn bộ channel, lưu localStorage và app-data.","OK","L12489-L12495"
"43","Ads cuối","Bỏ chọn","button#allClearChannelsBtn","4155","Bỏ chọn toàn bộ channel, lưu localStorage và app-data.","OK","L12496-L12502"
"44","Ads cuối","Lưu ads cuối","#allForm button[type='submit']","4161","Lưu enabled, source, mode và channel IDs vào local/app-data.","OK","L12455-L12470"
"45","Bot users","Xuất TXT","button#botUserExportBtn","4192","Bị bind hai click handler; một lần bấm có thể tải hai file và không tôn trọng filter hiện tại.","CONFLICT","L6642-L6664; L12589-L12610"
"46","Bot config","Lưu cấu hình bot","button[data-action='save_bot_modules']","4229","Lưu backend thật; fallback localStorage không được hydrate lại ở lần mở sau.","PARTIAL","L11090-L11154; L8107-L8118"
"47","Bot archive","Làm mới","button#botArchiveRefresh","4337","Chỉ xóa search/date/branch filter và render data local; không fetch archive.","PARTIAL","L12562-L12573"
"48","File to link","Tạo file link","button[data-action='create_filelink']","4395","Không dùng được với dữ liệu hiện tại vì users/media không được load; module còn tham chiếu hàm thiếu trên các path có dữ liệu.","BROKEN","L10123-L10223; L9909; L11929-L11945"
"49","File-link backup","Lưu cấu hình backup","button[data-action='save_filelink_backup']","4444","Handler generic báo chưa hỗ trợ rồi handler thật chạy; lỗi _put vẫn bị báo thành công.","CONFLICT","L11182-L11189; L11747-L11778; L5356-L5362"
"50","File-link backup","Kiểm tra quyền bot","button[data-subpage-nav='botadmin'][data-subpage-target='botadmin-invite']","4445","Chỉ điều hướng sang Admin bot/Mời bot; không thực hiện kiểm tra quyền.","PARTIAL","L11082-L11088"
"51","File to link","Mở kho link share","button[data-subpage-nav='botops'][data-subpage-target='botops-filelink-shares']","4456","Điều hướng sang kho link share.","OK","L11082-L11088"
"52","Kho link share","Quay lại File to link","button[data-subpage-nav='botops'][data-subpage-target='botops-filelink']","4470","Điều hướng về File to link.","OK","L11082-L11088"
"53","Kho link share","Làm mới","button#botFileLinkRefresh","4497","Chỉ reset filter/sort và render local; không fetch backend, không cập nhật expired.","PARTIAL","L11952-L11961"
"54","Mã xem","Bung / thu gọn","#viewCodesConfigCard .card-collapse-toggle","4525","Toggle card config và lưu collapse state localStorage.","OK","L5912-L6004; L8475-L8480"
"55","Mã xem","Lưu cấu hình","button[data-action='save_viewcodes_config']","4570","Validate min/max và PUT cấu hình theo content type.","OK","L8507-L8535; L11841-L11852"
"56","Mã xem","Làm mới","button#viewCodesRefresh","4582","Bị bind hai click handler nên có thể gọi render/fetch hai lần và hiện hai toast.","CONFLICT","L8475-L8498; L12574-L12577"
"57","Anti-flood","Chạy mô phỏng","button#antifloodStartBtn","4597","Chạy simulator local deterministic, cập nhật counter/log; không gửi Telegram.","SIMULATION","L9285-L9343"
"58","Anti-flood","Dừng","button#antifloodCancelBtn","4598","Đặt cancelToken cho simulator local.","SIMULATION","L9345-L9353"
"59","Admin forum","Lưu forum chung","button[data-action='save_admin_forum']","4697","PUT forumChatId/rootTopic/toggles qua backend.","OK","L11623-L11639; L7899-L7908"
"60","Admin progress","Refresh tiến độ","button[data-action='refresh_topic_progress']","4715","Đọc sai envelope r.entries và map field không khớp render sourceTopic/target/percent.","BROKEN","L12518-L12538; L7078-L7126"
"61","Admin invite","Lưu forum mời bot","button[data-action='save_admin_bot_invite_forum']","4740","Vừa báo chưa hỗ trợ vừa false-success khi _put lỗi.","CONFLICT","L11182-L11189; L11781-L11808"
"62","Channels","Thêm kênh","button#addChannelBtn","4765","Mở modal; submit thêm optimistic nhưng parser URL/ID sai và vẫn báo thành công khi backend lỗi.","PARTIAL","L12209-L12275"
"63","Channels","Load ảnh + tên kênh","button#syncChannelMetaBtn","4766","Gọi channels.meta không tồn tại thay vì channelMeta.meta; sau đó vẫn toast thành công.","BROKEN","L12111; L7755-L7769; L5528-L5530"
"64","Channels","Sync folder","button[data-action='sync_folders']","4767","Chỉ GET registry rồi báo số row; không gán vào data.channels.","BROKEN","L11599-L11607"
"65","Channels","Check kênh chết","button[data-action='check_channels']","4768","POST danh sách chat IDs, cập nhật dieChannels localStorage và log.","OK","L11267-L11292"
"66","Channels","Xóa kênh chết","button#removeDeadChannelsBtn","4769","Xóa optimistic khỏi RAM và gọi backend async; backend lỗi có thể làm dữ liệu xuất hiện lại.","PARTIAL","L12277-L12297"
"67","Add-channel modal","Đóng","button[data-modal-close][aria-label='Đóng']","4803","Đóng modal và reset form.","OK","L12214-L12226"
"68","Add-channel modal","Hủy","#addChannelForm button[data-modal-close]","4813","Đóng modal và reset form.","OK","L12214-L12226"
"69","Add-channel modal","OK","#addChannelForm button[type='submit']","4814","Submit thêm channel; parsing/persistence chỉ partial như nút Thêm kênh.","PARTIAL","L12228-L12275"
"70","Telegram config","Lưu cấu hình hash","button[data-action='save_telegram']","4893","Lưu API ID/hash/session; selector phone sai và bỏ qua device, app version, staging cùng hai toggle.","PARTIAL","L11308-L11329; L4972-L4982"
"71","Telegram login","Đổi tài khoản","button[data-action='relogin_userbot']","4920","Generic handler báo chưa hỗ trợ trước, rồi handler thật logout và về bước nhập phone.","CONFLICT","L11182-L11189; L11572-L11597"
"72","Telegram login","Đăng xuất","[data-login-step='logged_in'] button[data-action='logout_userbot']","4921","Confirm, POST logout, xóa input và trở về bước phone.","OK","L11543-L11571"
"73","Telegram login","Gửi mã OTP","button[data-action='send_login_code']","4949","POST send-code thật, nhưng phone thô được chèn vào innerHTML status gây DOM XSS.","SECURITY_RISK","L11454-L11487; L11392-L11399"
"74","Telegram login","Xác nhận login","button[data-action='confirm_userbot_login']","4950","POST OTP/2FA và chuyển step; không khóa nút trong request nên có thể submit lặp.","PARTIAL","L11489-L11542"
"75","Telegram login","Đăng xuất","[data-login-toolbar] button[data-action='logout_userbot']","4951","Không được bind vì code dùng querySelector và chỉ bắt nút logout đầu tiên; generic handler cũng bỏ qua action này.","DEAD","L11543; L11155-L11184"
"76","Backup","Backup ngay","button[data-action='backup_now']","4999","POST backup/run-now và báo path/kết quả.","OK","L11293-L11307; L7967-L7970"
"77","Import","Preview import","button[data-action='import_preview']","5017","Chỉ toast chưa hỗ trợ; dropzone không có file input hay drag/drop handler.","DEAD","L11611-L11613; L5010-L5015"
"78","Import","Import từ workspace","button[data-action='import_from_disk']","5018","Chỉ toast chưa hỗ trợ; không mở file/folder hay gọi import API.","DEAD","L11608-L11610"
"79","Import","Resync disk","button[data-action='resync_disk']","5019","Chỉ refresh ba count hệ thống; không reload mapping/channel data.","BROKEN","L11614-L11622; L8000-L8016"
"80","Audit","Xoá log","button#auditClearBtn","5061","Xóa nhầm forward logs; không xóa biến audit log nội bộ và vẫn báo thành công khi backend lỗi.","BROKEN","L12578-L12587; L9357-L9379"
"81","Audit/Bot","Thêm bot","button#connectBotBtn","5062","Mở wizard giả getMe, tạo username demo và lưu token đã mask; không kết nối bot thật.","SIMULATION","L12732; L9727-L9786"
"82","Sandbox","Bắt đầu ghi","button#sandboxStartBtn","5082","Chỉ đổi input trạng thái thành recording; không có code ghi message vào sessionStorage.","BROKEN","L12733-L12736; L5868-L5903"
"83","Sandbox","Replay","button#sandboxReplayBtn","5083","Replay dữ liệu sessionStorage nếu đã được chèn từ ngoài; recorder hiện không tạo session.","BROKEN","L12750-L12764; L5891-L5902"
"84","Sandbox","Export JSON","button#sandboxExportBtn","5084","Tải JSON của session hiện tại; thường là mảng rỗng vì chức năng ghi không tồn tại.","PARTIAL","L12742-L12749; L5882-L5883"
"85","Sandbox","Xoá session","button#sandboxClearBtn","5085","Xóa key sessionStorage và đặt count về 0.","OK","L12737-L12741; L5876-L5880"
"86","Logs","Clear logs","button#clearLogsBtn","5112","Xóa UI rồi luôn thêm lại log báo backend đã xóa; envelope lỗi không throw nên false-success.","BROKEN","L12540-L12550; L5356-L5378"
"D1","Self-delete dynamic","Bung / thu gọn","#botSelfDeleteList .card-collapse-toggle","6089","Có collapse handler nếu list tồn tại, nhưng container Self-delete đã bị bỏ khỏi HTML.","UNREACHABLE","L6053-L6105; không có botSelfDeleteList trong HTML tĩnh"
"D2","Self-delete dynamic","Sửa","button[data-sdaction='edit']","6097","Có handler mở inline editor, nhưng container nguồn không tồn tại.","UNREACHABLE","L11873-L11880; L6199-L6248"
"D3","Self-delete dynamic","Xoá","button[data-sdaction='delete']","6098","Có handler xóa local/backend task, nhưng UI không thể được render từ HTML hiện tại.","UNREACHABLE","L11873-L11880; L6249-L6265"
"D4","Self-delete editor","Lưu","button[data-sd-save]","6211","Lưu text chỉnh sửa và persist nếu editor được tạo; flow hiện không truy cập được.","UNREACHABLE","L6221-L6232"
"D5","Self-delete editor","Huỷ","button[data-sd-cancel]","6212","Gỡ editor và bỏ trạng thái editing; flow hiện không truy cập được.","UNREACHABLE","L6233-L6236"
"D6","Toast dynamic","Action","button.toast-action","6436","Gọi callback onAction rồi đóng toast khi showToastRich có actionLabel.","OK","L6441-L6450"
"D7","Toast dynamic","Đóng","button.toast-close","6437","Gỡ toast khỏi DOM.","OK","L6452-L6454"
"D8","Inventory dynamic","Run topic","button[data-action='run_inventory_topic']","6528","Sinh sau lần bind querySelectorAll data-action và không có delegated handler; click không làm gì.","DEAD","L11182-L11190; L12864"
"D9","Inventory dynamic","Scan kho","#inventoryList button[title='Scan kho']","6530","Không có id/data-action/handler.","DEAD","L6501-L6534"
"D10","Bot user dynamic","Xem chi tiết","button[data-user-detail]","6578","Mở/đóng detail panel cho user hiện tại.","OK","L12298-L12308; L6687-L6734"
"D11","Bot user dynamic","Chặn / Bỏ chặn","button[data-user-block]","6579","Chỉ toggle cờ trong RAM và render lại; không backend/persistence.","PARTIAL","L12298-L12308; L6748-L6755"
"D12","Bot user detail","Đóng","button[data-user-detail-close]","6679","Đóng detail panel; Escape cũng hỗ trợ.","OK","L12309-L12316; L6735-L6742"
"D13","Archive dynamic","Xem","button[data-archive-action='view']","6857","Mở modal chi tiết nếu botArchives có dữ liệu; app hiện không load archive từ backend.","PARTIAL","L12965-L12972; L12889-L12931"
"D14","Archive dynamic","Share","button[data-archive-action='share']","6858","Copy deep-link hardcode pro_vitamin vào clipboard nếu có archive data.","PARTIAL","L12933-L12950"
"D15","Archive dynamic","Bot","button[data-archive-action='bot']","6859","Chỉ điều hướng lại cùng subpage archive và toast.","PARTIAL","L12951-L12959"
"D16","Leaderboard dynamic","Broadcast","button[title='Broadcast riêng']","6881","Không có handler; container leaderboard cũng không tồn tại trong HTML.","DEAD","L6865-L6885"
"D17","Leaderboard dynamic","Chi tiết","button[title='Chi tiết']","6882","Không có handler; container leaderboard không tồn tại.","DEAD","L6865-L6885"
"D18","Top views dynamic","Xem","#botTopViewList button[title='Xem']","6963","Không có handler và container không tồn tại.","DEAD","L6949-L6967"
"D19","Top views dynamic","Share","#botTopViewList button[title='Share']","6964","Không có handler và container không tồn tại.","DEAD","L6949-L6967"
"D20","Broadcast dynamic","PV","#botBroadcastList button[title='Xem trước']","6993","Không có handler và container broadcast list không tồn tại.","DEAD","L6969-L6997"
"D21","Bot buttons dynamic","Preview","#botButtonList button[title='Preview nút']","7015","Không có handler và container không tồn tại.","DEAD","L6998-L7020"
"D22","Admin topic dynamic","Link","#botAdminTopicList button.btn-warning","7072","Không có handler; data botAdminTopics không được load.","DEAD","L7058-L7077"
"D23","Admin topic dynamic","Mở topic","#botAdminTopicList button[title='Mở topic']","7073","Không có handler.","DEAD","L7058-L7077"
"D24","Progress dynamic","Thông báo","#botTopicProgressList button.btn-warning","7121","Không có handler; refresh progress cũng map dữ liệu sai.","DEAD","L7078-L7127; L12518-L12535"
"D25","Progress dynamic","Mở cursor","#botTopicProgressList button[title^='Mở cursor']","7122","Không có handler.","DEAD","L7078-L7127"
"D26","Invite dynamic","Mời bot","#botInviteList button.btn-success","7145","Không có handler và data botInvites không được load.","DEAD","L7133-L7150"
"D27","Invite dynamic","Check","#botInviteList button.btn-warning","7146","Không có handler; không kiểm tra quyền Telegram.","DEAD","L7133-L7150"
"D28","Admin log dynamic","Mở log","#botAdminLogList button[title='Mở log']","7163","Không có handler và data botAdminLogs không được load.","DEAD","L7151-L7167"
"D29","Channel dynamic","Load ảnh + tên","button[data-channel-sync]","7248","Có delegated handler nhưng gọi sai channels.meta nên không cập nhật.","BROKEN","L12131-L12135; L7755-L7769"
"D30","Channel dynamic","Xóa khỏi pool","button[data-channel-delete]","7249","Confirm rồi xóa optimistic khỏi RAM/backend.","PARTIAL","L12137-L12150"
"D31","Dead channel dynamic","Xóa khỏi pool","button[data-die-remove-from-pool]","7303","Xóa channel tương ứng khỏi pool và render lại.","OK","L12152-L12165"
"D32","Dead channel dynamic","Gỡ khỏi mapping","button[data-die-strip-mappings]","7304","Gỡ ID khỏi destinations và gọi saveMappingItem cho mapping bị ảnh hưởng.","PARTIAL","L12167-L12194"
"D33","Dead channel dynamic","Xóa khỏi danh sách die","button[data-die-delete-entry]","7305","Xóa entry localStorage dieChannels.","OK","L12196-L12203"
"D34","Destination dynamic","Xóa","button[data-remove-destination]","7676","Delegated handler xóa row hoặc làm rỗng row cuối.","OK","L10965-L11074"
"D35","View-code dynamic","Xóa","button[data-viewcode-action='delete']","8462","Bị hai listener gọi deleteViewCodeUI; có thể confirm và request hai lần.","CONFLICT","L8480-L8485; L11854-L11857"
"D36","Issues dynamic","Jump/Fix","button[data-issue-jump]","8801","Container issues không tồn tại; nếu xuất hiện, handler còn tham chiếu biến item không định nghĩa.","BROKEN","L12101-L12108; L8772-L8806"
"D37","Connect wizard","Đóng","button[data-act='close']","9737","Đóng wizard và reset state demo.","SIMULATION","L9747-L9752; L9822-L9827"
"D38","Connect wizard","Quay lại","button[data-act='back']","9741","Lùi step trong wizard demo.","SIMULATION","L9747-L9753"
"D39","Connect wizard","Tiếp","button[data-act='next']","9742","Validate format token rồi giả lập getMe và lưu bot mask token.","SIMULATION","L9753-L9786"
"D40","File-link dynamic","Bung / thu gọn","#botFileLinkList .card-collapse-toggle","9930","Có collapse handler nếu saved-link được render; cấu hình hint tương ứng đang thiếu trong DOM và path chọn row gọi hàm không tồn tại.","PARTIAL","L9907-L9911; L9959-L9969; L11929-L11945"
"D41","File-link dynamic","Sửa owner","button[data-fllink-action='edit']","9939","Dùng prompt sửa owner chỉ trong local/app-data.","PARTIAL","L11917-L11946; L10255-L10270"
"D42","File-link dynamic","Xóa","button[data-fllink-action='delete']","9940","Confirm rồi xóa link local/app-data; không xóa Telegram/backend resource thật.","PARTIAL","L11917-L11946; L10307-L10317"
"D43","File-link preview","Xem lại","button[data-fllink-action='revive']","10078","Chỉ đổi status/expiresAt local và render lại.","PARTIAL","L10241-L10253; L11962-L11965"
"D44","Mapping dynamic","Xóa đích","button[data-remove-destination]","10460","Xóa row, đồng bộ destinations/cmd và autosave mapping.","OK","L10965-L11074; L11968-L11975"
"D45","Mapping dynamic","Mở / thu gọn","button[data-mapping-toggle-btn]","10484","Toggle expanded state qua click trên header; button hoạt động bằng event bubbling.","OK","L12024-L12030; L10645-L10659"
"D46","Mapping dynamic","Chạy","button[data-mapping-run]","10485","Chỉ ghi log/toast; không gọi runtime API.","SIMULATION","L11029-L11037"
"D47","Mapping dynamic","Xóa","button[data-mapping-delete]","10486","Confirm, xóa optimistic, gọi backend và cung cấp Undo.","PARTIAL","L11003-L11027"
"D48","Mapping dynamic","+ Thêm đích","button[data-add-destination^='mapDestStack_']","10498","Sinh row mới; input sau đó được autosave qua delegated input handler.","OK","L10965-L10984; L11968-L11975"
"D49","Mapping dynamic","Xóa token","button[data-remove-destination]","10555","Xóa/clear token row và autosave mapping.","OK","L11039-L11066"
"D50","Mapping dynamic","+ Thêm token bot","button[data-add-destination^='botTokenStack_']","10558","Sinh password input token mới và autosave khi nhập.","OK","L10985-L10997; L11968-L11975"
"D51","Mapping empty state","Xóa bộ lọc & tìm","button#clearMappingSearchBtn","10592","Reset search/filter và render lại mapping list.","OK","L12088-L12100"
"D52","Mapping filters","Filter chip","button[data-mapping-filter]","10625","Cập nhật branch/status filter, lưu localStorage và render lại.","OK","L12032-L12038; L10638-L10644"
"D53","Legacy die-list dynamic","Nhảy tới mapping","button[data-jump-die]","10703","Không có handler; container dieChannelsList cũng không tồn tại.","DEAD","Chỉ xuất hiện tại L10703"
"D54","Legacy die-list dynamic","Xóa kênh die","button[data-remove-die-channel]","10704","Không có handler; container legacy không tồn tại.","DEAD","Chỉ xuất hiện tại L10704"
"D55","Ad source dynamic","Check","button[data-ad-source-check]","10781","Được render trong adSourceList nhưng hoàn toàn không có handler.","DEAD","L10762-L10785; không có selector handler tương ứng"
"D56","Ad source dynamic","Xóa","button[data-ad-source-delete]","10782","Được render nhưng không có handler; người dùng không thể xóa nguồn đã lưu.","DEAD","L10762-L10785; không có selector handler tương ứng"
"D57","Undo banner","Hoàn tác","button.undo-btn","10799","Gọi undoFn gần nhất rồi ẩn banner.","OK","L10802-L10803; L10828-L10847"
"D58","Undo banner","Đóng","button.undo-close","10800","Xóa undo stack và ẩn banner.","OK","L10802-L10803; L10849-L10851"
"D59","Mapping destination inserted","Xóa đích","button[data-remove-destination]","10979","Delegated handler xử lý row được chèn sau render.","OK","L10965-L11074"
"D60","Mapping token inserted","Xóa token","button[data-remove-destination]","10992","Delegated handler xử lý token row được chèn sau render.","OK","L10965-L11074"
"D61","Archive modal","Đóng","button[data-archive-modal-close]","12915","Ẩn modal khi bấm nút hoặc backdrop.","OK","L12921-L12926"
"D62","Auth setup banner","Đóng","#vcbAuthSetupBanner button[aria-label='Đóng']","8920","Gỡ cảnh báo chưa đặt mật khẩu admin.","OK","L8920-L8926"
"D63","Auth overlay","Đăng nhập","#vcbAuthOverlay form button[type='submit']","8940","Submit password tới /api/auth/login và đóng overlay khi thành công.","OK","L8953-L8978"
